name,artist,rank,weeks
Bad Habits,Ed Sheeran,16,24
Sleigh Ride,The Ronettes,17,13
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,18,16
Cold Heart (PNAU Remix),Elton John,19,14
The Christmas Song (Merry Christmas To You),Nat King Cole,20,29
It's Beginning To Look A Lot Like Christmas,Perry Como,21,9
Smokin Out The Window,Silk Sonic,22,5
Super Gremlin,Kodak Black,23,5
Underneath The Tree,Kelly Clarkson,24,12
Christmas (Baby Please Come Home),Darlene Love,25,9
Happy Holiday / The Holiday Season,Andy Williams,26,10
Rudolph The Red-Nosed Reindeer,Gene Autry,27,14
White Christmas,Bing Crosby,28,22
Good 4 U,Olivia Rodrigo,29,30
Santa Tell Me,Ariana Grande,30,10
Fancy Like,Walker Hayes,31,25
It's Beginning To Look A Lot Like Christmas,Michael Buble,32,7
You Right,Doja Cat,33,24
Run Rudolph Run,Chuck Berry,34,11
Essence,Wizkid,35,23
Kiss Me More,Doja Cat,36,35
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers,37,9
One Right Now,Post Malone,38,5
Way 2 Sexy,Drake,39,14
Ghost,Justin Bieber,40,11
Save Your Tears,The Weeknd,41,52
All Too Well (Taylor's Version),Taylor Swift,42,4
Beggin',Maneskin,43,24
Knife Talk,Drake,44,14
Thinking 'Bout You,Dustin Lynch,45,17
Happier Than Ever,Billie Eilish,46,19
Oh My God,Adele,47,3
Love Nwantiti (Ah Ah Ah),CKay,48,12
Wandered To LA.,Juice WRLD,49,1
Thats What I Want,Lil Nas X,50,12
Better Days,NEIKED X Mae Muller X Polo G,51,8
If I Didn't Love You,Jason Aldean,52,20
Meet Me At Our Spot,THE ANXIETY: WILLOW,53,13
Who Want Smoke??,Nardo Wick,54,9
Girls Want Girls,Drake,55,14
Buy Dirt,Jordan Davis,56,18
Cold As You,Luke Combs,57,19
You Should Probably Leave,Chris Stapleton,58,23
My Universe,Coldplay x BTS,59,11
Pepas,Farruko,60,20
By Your Side,Rod Wave,61,2
Sand In My Boots,Morgan Wallen,62,21
Have Mercy,Chloe,63,13
Woman,Doja Cat,64,19
Chosen,Blxst,65,11
Don't Play,Polo G,66,1
Whiskey And Rain,Michael Ray,67,10
One Mississippi,Kane Brown,68,11
Big Energy,Latto,69,7
Bad Man (Smooth Criminal),Polo G,70,4
Enemy,Imagine Dragons X JID,71,3
Merry Christmas,Ed Sheeran,72,1
Same Boat,Zac Brown Band,73,12
Christmas Tree Farm (Old Timey Version),Taylor Swift,74,2
Knowing You,Kenny Chesney,75,17
Family Ties,Baby Keem,76,15
Gyalis,Capella Grey,77,19
No Love,Summer Walker,78,5
Pick Out A Christmas Tree,Dan + Shay,79,2
Too Easy,Gunna,80,9
'Til You Can't,Cody Johnson,81,9
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,82,4
Sharing Locations,Meek Mill,83,15
Tequila Little Time,Jon Pardi,84,9
For Tonight,Giveon,85,10
Me Or Sum,"Nardo Wick, Lil Baby",86,1
Young N Dumb,Polo G,87,1
Freedom Was A Highway,Jimmie Allen,88,9
Fair Trade,Drake,89,14
Scorpio,Moneybagg Yo,90,3
Bubbly,Young Thug With Drake,91,8
Half Of My Hometown,Kelsea Ballerini,92,6
Just About Over You,Priscilla Block,93,6
Start Up Again,Polo G,94,1
Heart On Fire,Eric Church,95,3
Memory I Don't Mess With,Lee Brice,96,19
I'll Be Home For Christmas,Camila Cabello,97,1
Mercedes,Brent Faiyaz,98,1
Poke It Out,Wale,99,6
Partin Ways,Polo G,100,1
Easy On Me,Adele,1,8
Stay,The Kid LAROI,2,21
All I Want For Christmas Is You,Mariah Carey,3,47
Rockin' Around The Christmas Tree,Brenda Lee,4,41
Jingle Bell Rock,Bobby Helms,5,38
Industry Baby,Lil Nas X,6,19
A Holly Jolly Christmas,Burl Ives,7,22
Heat Waves,Glass Animals,8,46
Shivers,Ed Sheeran,9,12
Need To Know,Doja Cat,10,25
It's The Most Wonderful Time Of The Year,Andy Williams,11,23
Bad Habits,Ed Sheeran,12,23
Cold Heart (PNAU Remix),Elton John,13,13
Smokin Out The Window,Silk Sonic,14,4
Last Christmas,Wham!,15,21
Feliz Navidad,Jose Feliciano,16,16
Christmas (Baby Please Come Home),Darlene Love,17,8
The Christmas Song (Merry Christmas To You),Nat King Cole,18,28
Sleigh Ride,The Ronettes,19,12
It's Beginning To Look A Lot Like Christmas,Michael Buble,20,6
All Too Well (Taylor's Version),Taylor Swift,21,3
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,22,15
Fancy Like,Walker Hayes,23,24
abcdefu,GAYLE,24,2
White Christmas,Bing Crosby,25,21
Good 4 U,Olivia Rodrigo,26,29
Underneath The Tree,Kelly Clarkson,27,11
Essence,Wizkid,28,22
You Right,Doja Cat,29,23
Happy Holiday / The Holiday Season,Andy Williams,30,9
Way 2 Sexy,Drake,31,13
Beggin',Maneskin,32,23
One Right Now,Post Malone,33,4
Kiss Me More,Doja Cat,34,34
Rudolph The Red-Nosed Reindeer,Gene Autry,35,13
Santa Tell Me,Ariana Grande,36,9
Oh My God,Adele,37,2
Save Your Tears,The Weeknd,38,51
Ghost,Justin Bieber,39,10
Run Rudolph Run,Chuck Berry,40,10
